Temp	s_xy	_xz	s_yz 
   389.28999   -991.99451    398.45002    149.66015 
   384.58841   -929.01176     438.4581     90.98759 
   379.33123   -871.70784    407.52326    36.092964 
   373.98165   -813.42552    307.59954   -16.561212 
   369.09565   -748.49298    149.36267   -68.005665 
   365.23588   -677.02907    -49.37342   -119.27963 
   362.88099   -603.06142   -271.28943   -169.54213 
   362.34977   -530.78514   -499.52377   -217.46123 
    363.7535   -465.78999   -719.93286   -257.58778 
    366.9843   -413.73225   -920.04038   -285.77691 
   371.73504    -381.5816   -1089.5162   -294.13458 
   377.54612   -373.05761   -1219.5167   -275.87571 
   383.86924   -391.26203   -1301.9542   -224.06435 
   390.13532   -434.86996   -1330.3579   -136.63927 
   395.81889   -498.56549   -1302.9623   -17.651021 
   400.48851   -572.06442   -1221.3517     124.2146 
   403.84102   -642.67565   -1093.6244    274.21959 
   405.71732   -694.79148   -933.32578    413.32228 
   406.10248   -720.29981   -758.76315     524.3078 
    405.1075   -711.28481   -590.00841    593.51262 
   402.93856   -664.70017   -444.71236    612.71121 
   399.85541    -583.4449   -337.01757    579.61676 
   396.13115   -473.48883   -274.72473    497.59169 
   392.01964   -342.15308   -258.43349    376.57596 
   387.74366   -196.00387   -283.22314    228.18605 
   383.49813   -43.442095   -340.21953    64.898957 
     379.466    109.67388   -417.84298   -100.15768 
   375.83369    256.50183    -503.9837   -257.29879 
   372.79883    391.56735    -589.6926   -400.52964 
   370.56295    510.71763   -665.49677   -523.21943 
   369.31142    610.73601   -725.96204     -625.574 
   369.18583    689.85861   -765.39105   -706.79941 
   370.25462    747.38747   -778.98481   -765.93673 
   372.49206    782.95076   -763.61652   -804.36703 
   375.76789    795.04181   -718.24391    -821.0983 
   379.85205    787.48803   -643.23819   -814.89248 
   384.43436    760.97372   -540.21288   -786.40758 
   389.15496     716.9306   -416.24014   -734.55151 
   393.64011    656.85377   -277.05507   -664.29045 
   397.53823    582.85654   -132.01407   -581.49873 
   400.55239    496.42296    11.850263   -493.21955 
   402.46215    401.06316    149.77748   -408.72212 
   403.13608    300.23902    276.79395   -339.61066 
   402.53413    199.13347    391.79403   -293.58488 
   400.70214    105.87624    495.19593   -277.91977 
   397.76094    28.840514    584.78104   -297.14661 
     393.893   -24.547248    662.88896   -353.84354 
   389.32729   -47.787942    729.36214   -447.86987 
   384.32031   -36.828642    786.18067   -574.06424 
    379.1377    10.528922    833.88972   -725.63605 
   374.03422    96.302994    871.67414   -890.80218 
    369.2386    220.40712    897.70785   -1056.8916 
