# freqs_THz  cepf_psd cepf_logpsd
# 
3.211284513805522600e+00 4.206033750430205837e+06 1.498166781410446191e+01
3.221288515406162567e+00 4.195568429452073760e+06 1.497917654489967276e+01
3.231292517006802534e+00 4.185120408517559525e+06 1.497668318748018024e+01
3.241296518607442945e+00 4.174689842184258625e+06 1.497418777874884555e+01
3.251300520208083356e+00 4.164276882960101124e+06 1.497169035551174332e+01
3.261304521808723322e+00 4.153881681309926789e+06 1.496919095447690395e+01
3.271308523409363733e+00 4.143504385662027169e+06 1.496668961225303107e+01
3.281312525010004144e+00 4.133145142414840404e+06 1.496418636534822610e+01
3.291316526610644111e+00 4.122804095943873748e+06 1.496168125016875194e+01
3.301320528211284522e+00 4.112481388608613983e+06 1.495917430301775042e+01
3.311324529811924933e+00 4.102177160759736318e+06 1.495666556009402726e+01
3.321328531412564899e+00 4.091891550746233668e+06 1.495415505749078378e+01
3.331332533013205310e+00 4.081624694922774099e+06 1.495164283119438409e+01
3.341336534613845721e+00 4.071376727657140233e+06 1.494912891708311875e+01
3.351340536214486132e+00 4.061147781337891705e+06 1.494661335092600396e+01
3.361344537815125655e+00 4.050937986381903291e+06 1.494409616838151678e+01
3.371348539415766066e+00 4.040747471242243890e+06 1.494157740499642273e+01
3.381352541016406477e+00 4.030576362416031770e+06 1.493905709620453237e+01
3.391356542617046443e+00 4.020424784452442545e+06 1.493653527732551822e+01
3.401360544217687298e+00 4.010292859960816335e+06 1.493401198356371751e+01
3.411364545818327709e+00 4.000180709618805908e+06 1.493148725000692068e+01
3.421368547418967676e+00 3.990088452180738095e+06 1.492896111162520256e+01
3.431372549019607643e+00 3.980016204485946801e+06 1.492643360326973578e+01
3.441376550620248054e+00 3.969964081467278302e+06 1.492390475967161478e+01
3.451380552220888465e+00 3.959932196159688756e+06 1.492137461544070121e+01
3.461384553821528431e+00 3.949920659708854277e+06 1.491884320506444084e+01
3.471388555422168842e+00 3.939929581379977986e+06 1.491631056290671964e+01
3.481392557022809253e+00 3.929959068566552829e+06 1.491377672320671266e+01
3.491396558623449220e+00 3.920009226799376309e+06 1.491124172007774717e+01
3.501400560224089187e+00 3.910080159755477216e+06 1.490870558750615871e+01
3.511404561824730042e+00 3.900171969267183449e+06 1.490616835935014706e+01
3.521408563425370453e+00 3.890284755331352353e+06 1.490363006933868917e+01
3.531412565026010419e+00 3.880418616118486039e+06 1.490109075107037739e+01
3.541416566626650830e+00 3.870573647982184775e+06 1.489855043801234658e+01
3.551420568227291241e+00 3.860749945468364749e+06 1.489600916349914783e+01
3.561424569827931208e+00 3.850947601324797142e+06 1.489346696073165077e+01
3.571428571428571175e+00 3.841166706510575023e+06 1.489092386277595992e+01
3.581432573029211586e+00 3.831407350205700845e+06 1.488837990256233113e+01
3.591436574629851997e+00 3.821669619820743799e+06 1.488583511288409156e+01
3.601440576230491963e+00 3.811953601006491575e+06 1.488328952639656322e+01
3.611444577831132374e+00 3.802259377663734369e+06 1.488074317561600424e+01
3.621448579431772785e+00 3.792587031953079626e+06 1.487819609291855372e+01
3.631452581032412752e+00 3.782936644304829184e+06 1.487564831053917658e+01
3.641456582633052719e+00 3.773308293428873643e+06 1.487309986057062261e+01
3.651460584233693130e+00 3.763702056324695237e+06 1.487055077496238908e+01
3.661464585834333541e+00 3.754118008291382808e+06 1.486800108551969757e+01
3.671468587434973507e+00 3.744556222937715240e+06 1.486545082390246364e+01
3.681472589035614806e+00 3.735016772192278411e+06 1.486290002162428792e+01
3.691476590636254773e+00 3.725499726313622668e+06 1.486034871005144709e+01
3.701480592236895184e+00 3.716005153900462668e+06 1.485779692040188138e+01
3.711484593837535151e+00 3.706533121901965700e+06 1.485524468374423179e+01
3.721488595438175562e+00 3.697083695628007408e+06 1.485269203099682045e+01
3.731492597038815973e+00 3.687656938759512734e+06 1.485013899292669493e+01
3.741496598639455939e+00 3.678252913358794991e+06 1.484758560014864059e+01
3.751500600240096350e+00 3.668871679880017880e+06 1.484503188312424271e+01
3.761504601840736317e+00 3.659513297179535497e+06 1.484247787216089520e+01
3.771508603441376728e+00 3.650177822526453529e+06 1.483992359741088762e+01
3.781512605042016695e+00 3.640865311613040045e+06 1.483736908887043171e+01
3.791516606642657106e+00 3.631575818565289024e+06 1.483481437637875899e+01
3.801520608243297517e+00 3.622309395953447092e+06 1.483225948961716512e+01
3.811524609843937483e+00 3.613066094802618027e+06 1.482970445810811810e+01
3.821528611444577894e+00 3.603845964603321161e+06 1.482714931121433821e+01
3.831532613045217861e+00 3.594649053322109394e+06 1.482459407813787777e+01
3.841536614645858272e+00 3.585475407412262633e+06 1.482203878791926854e+01
3.851540616246498239e+00 3.576325071824370883e+06 1.481948346943658734e+01
