# freqs_THz  psd  fpsd  logpsd  flogpsd
# 
1.690000000000000169e+00 1.092353205256102607e+07 5.849150136652057059e+06 1.620642992401971938e+01 1.506134913253129959e+01
1.700000000000000178e+00 4.771478964473895729e+06 6.604431550605910830e+06 1.537816687025252804e+01 1.523621483472236626e+01
1.710000000000000187e+00 9.337236544403348817e+05 6.746112350431999192e+06 1.374693580024165129e+01 1.527184061702410922e+01
1.719999999999999973e+00 9.685786137184322579e+05 7.158649558502354659e+06 1.378358492912711597e+01 1.536177677394040053e+01
1.729999999999999982e+00 2.177528373993217945e+07 7.532338626809993759e+06 1.689628611115443846e+01 1.550723535530118014e+01
1.740000000000000213e+00 9.322034867626378313e+06 7.886878008876368403e+06 1.604789149626680356e+01 1.554636468792616455e+01
1.750000000000000222e+00 9.729490601189251989e+06 7.625684996697146446e+06 1.609067209936819154e+01 1.551861955351027333e+01
1.760000000000000009e+00 4.806927698438719846e+06 7.741836032828564756e+06 1.538556870587234826e+01 1.554018863175754639e+01
1.770000000000000018e+00 7.224103571369540878e+06 8.068435097917104140e+06 1.579293371109821287e+01 1.568368704451810736e+01
1.779999999999999805e+00 5.150376713402610272e+06 8.098540157903523184e+06 1.545458041819823336e+01 1.571042208701485343e+01
1.790000000000000036e+00 1.115012762048767693e+07 6.856241256994262338e+06 1.622696150158854778e+01 1.562063315981016132e+01
1.800000000000000266e+00 8.050408918589595705e+06 6.565351599343099631e+06 1.590123344544492667e+01 1.558241029749258644e+01
1.810000000000000275e+00 6.049140361919497140e+06 7.049862275379529223e+06 1.561542673097250855e+01 1.562212133858005814e+01
1.820000000000000062e+00 4.526313370414263569e+06 6.729217051016918384e+06 1.532541834060783792e+01 1.550181854664970160e+01
1.830000000000000071e+00 1.299734273569036042e+06 6.606423866879620589e+06 1.407767039659133168e+01 1.548300098997781760e+01
1.840000000000000080e+00 8.109995829930305481e+06 6.293794930614438839e+06 1.590860791190284473e+01 1.538284426459222232e+01
1.850000000000000311e+00 6.122248633463599719e+06 5.959081078233351000e+06 1.562744001077348699e+01 1.534640909530765995e+01
1.860000000000000098e+00 1.505910803758995794e+07 6.048290711775170639e+06 1.652749355133035536e+01 1.535686540184813609e+01
1.870000000000000107e+00 1.279830230450013420e+06 5.527858728242166340e+06 1.406223799463841040e+01 1.509088999751104865e+01
1.880000000000000115e+00 5.873378545859268866e+06 5.761652961451007985e+06 1.558594058770747459e+01 1.513179111630527984e+01
1.889999999999999902e+00 1.711458414485605434e+06 5.778756102820791304e+06 1.435285643895668883e+01 1.514408065640529877e+01
1.899999999999999911e+00 7.468275244295705110e+06 5.526601750386027619e+06 1.582617463945836711e+01 1.510602927380638150e+01
1.910000000000000142e+00 9.031714887549621984e+06 5.661650996606878936e+06 1.601625281739018547e+01 1.512577866603084509e+01
1.920000000000000373e+00 3.243885430564587004e+05 4.843123769571138546e+06 1.268969728326451651e+01 1.504295615135882258e+01
1.930000000000000160e+00 7.098049935711508617e+06 5.008473900742040016e+06 1.577533064734437751e+01 1.512334245296770341e+01
1.940000000000000169e+00 1.487868828636656515e+06 5.125045592147371732e+06 1.421285533769154164e+01 1.514129469129410133e+01
1.949999999999999956e+00 5.336297953147904947e+06 5.302809268117406406e+06 1.549004270331478139e+01 1.521056646542530189e+01
1.959999999999999964e+00 7.607790341892954893e+06 4.812103894936575554e+06 1.584468332524259893e+01 1.509394226882190537e+01
1.970000000000000417e+00 6.055308540196824819e+06 4.301884734647195786e+06 1.561644588993812555e+01 1.500564179596170788e+01
1.979999999999999982e+00 3.098681673329924699e+06 4.762372830393216573e+06 1.494648731233609418e+01 1.526112485830218723e+01
1.989999999999999991e+00 7.155667151317922398e+06 4.424745300979482010e+06 1.578341520929782682e+01 1.519378684232760612e+01
2.000000000000000000e+00 3.666858850155989639e+06 4.671563833820685744e+06 1.511484595439989320e+01 1.528818897737686910e+01
2.010000000000000231e+00 2.070516139306570636e+06 4.813692293273421004e+06 1.454330847682101613e+01 1.531154783031783850e+01
