# ck  ck_std  L0(P*)  L0_std(P*)  kappa(P*)  kappa_std(P*)
# 
6.691375373210131476e-03 1.502721698442523006e-02 1.547111351321677475e+01 2.937042553546905799e-01 6.810112017987898225e-01 2.000158879125164546e-01
6.196770388372061390e-04 1.502721698442523006e-02 1.547235286729445036e+01 2.952379694663971876e-01 6.818557390409186736e-01 2.013097038634504565e-01
2.453362509981249913e-05 1.502721698442523006e-02 1.547240193454464929e+01 2.967637572477968000e-01 6.818891966478954902e-01 2.023600000239112184e-01
1.712395234299334337e-02 1.502721698442523006e-02 1.550664983923063645e+01 2.982817403345656704e-01 7.056469778569911533e-01 2.104816086170100409e-01
4.066286776132112951e-02 1.502721698442523006e-02 1.558797557475327977e+01 2.997920372828558611e-01 7.654323339365872725e-01 2.294705187930207446e-01
1.362960629373918299e-02 1.502721698442523006e-02 1.561523478734075709e+01 3.012947636773550819e-01 7.865844012349963998e-01 2.369937612823920792e-01
2.838669178515346430e-03 1.502721698442523006e-02 1.562091212569778875e+01 3.027900322345192796e-01 7.910628077125502200e-01 2.395259330468123837e-01
1.851790316665539657e-02 1.502721698442523006e-02 1.565794793203109947e+01 3.042779529012399897e-01 8.209097478497646705e-01 2.497847375923994973e-01
-3.263768029065645254e-02 1.502721698442523006e-02 1.559267257144978558e+01 3.057586329491895349e-01 7.690360237146630640e-01 2.351394032996758643e-01
2.278113862677332707e-02 1.502721698442523006e-02 1.563823484870333047e+01 3.072321770650743855e-01 8.048855477034018158e-01 2.472867391091309319e-01
-1.890515484889652292e-02 1.502721698442523006e-02 1.560042453900553738e+01 3.086986874370106770e-01 7.750207326846897393e-01 2.392478829162340559e-01
-8.828796758796044961e-03 1.502721698442523006e-02 1.558276694548794694e+01 3.101582638372242240e-01 7.614558456980324852e-01 2.361718230904070459e-01
-9.886153673324927019e-03 1.502721698442523006e-02 1.556299463814129780e+01 3.116110037012640444e-01 7.465479738733826753e-01 2.326325634498298267e-01
4.322518778230947586e-03 1.502721698442523006e-02 1.557163967569776020e+01 3.130570022039072531e-01 7.530298869666145478e-01 2.357412789837154965e-01
2.596265508939560665e-02 1.502721698442523006e-02 1.562356498587655196e+01 3.144963523319231902e-01 7.931641728155406357e-01 2.494472391508546771e-01
1.397992774973752170e-02 1.502721698442523006e-02 1.565152484137602684e+01 3.159291449538537688e-01 8.156538676868168025e-01 2.576888289965998391e-01
2.813356804262969260e-02 1.502721698442523006e-02 1.570779197746128730e+01 3.173554688869583140e-01 8.628641125525462474e-01 2.738346450248425046e-01
-1.289511466969994052e-02 1.502721698442523006e-02 1.568200174812188763e+01 3.187754109614622244e-01 8.408951590571021040e-01 2.680566999039318832e-01
-7.651600703558128361e-04 1.502721698442523006e-02 1.568047142798117477e+01 3.201890560822420184e-01 8.396093043945561663e-01 2.688337106519607667e-01
8.658550158118045667e-03 1.502721698442523006e-02 1.569778852829741211e+01 3.215964872880689995e-01 8.542755246394112545e-01 2.747320079002069093e-01
2.140061536927509098e-02 1.502721698442523006e-02 1.574058975903596291e+01 3.229977858085301690e-01 8.916333458977863113e-01 2.879955964780362421e-01
9.659170542835328679e-03 1.502721698442523006e-02 1.575990810012163479e+01 3.243930311187358528e-01 9.090256775995525507e-01 2.948815949212816312e-01
-2.062122346514948593e-02 1.502721698442523006e-02 1.571866565319133713e+01 3.257823009919186830e-01 8.722978136642297597e-01 2.841791888857526649e-01
-6.220597422255942470e-03 1.502721698442523006e-02 1.570622445834682424e+01 3.271656715500223522e-01 8.615126160879386097e-01 2.818573535912270445e-01
1.840821075773855370e-02 1.502721698442523006e-02 1.574304087986230272e+01 3.285432173123729038e-01 8.938215276147162269e-01 2.936590003855988340e-01
-1.775736765760734751e-03 1.502721698442523006e-02 1.573948940633077953e+01 3.299150112425214831e-01 8.906527743198279223e-01 2.938397200529089814e-01
2.021700637481547644e-02 1.502721698442523006e-02 1.577992341908041141e+01 3.312811247933408754e-01 9.274034211517545589e-01 3.072312484963456436e-01
-6.862425975032409101e-03 1.502721698442523006e-02 1.576619856713034551e+01 3.326416279504552098e-01 9.147618964671767605e-01 3.042878864278874551e-01
7.486430889832526754e-03 1.502721698442523006e-02 1.578117142891001023e+01 3.339965892740778819e-01 9.285615522665446875e-01 3.101363913880693657e-01
-9.133691084394176748e-03 1.502721698442523006e-02 1.576290404674122314e+01 3.353460759393272483e-01 9.117531536517224922e-01 3.057528423024116204e-01
-8.875295467690653192e-04 1.502721698442523006e-02 1.576112898764768389e+01 3.366901537750889295e-01 9.101361734675296189e-01 3.064338882010535503e-01
-2.195943059085416274e-02 1.502721698442523006e-02 1.571721012646597515e+01 3.380288873014864470e-01 8.710290844426009649e-01 2.944329922213648754e-01
-5.806911436615721546e-03 1.502721698442523006e-02 1.570559630359274195e+01 3.393623397660220919e-01 8.609716227739909744e-01 2.921813443767305452e-01
1.437204681753555258e-02 1.502721698442523006e-02 1.573434039722781463e+01 3.406905731784444780e-01 8.860785814636265023e-01 3.018786197999858700e-01
1.252169922660969700e-02 1.502721698442523006e-02 1.575938379568103542e+01 3.420136483443972364e-01 9.085491963217083855e-01 3.107362253343575187e-01
-6.736536538267203812e-03 1.502721698442523006e-02 1.574591072260450275e+01 3.433316248979010332e-01 8.963903391180277902e-01 3.077591516721730480e-01
1.622936870950214897e-03 1.502721698442523006e-02 1.574915659634640264e+01 3.446445613327170920e-01 8.993046361436809466e-01 3.099404518282176668e-01
-1.951045946216652550e-04 1.502721698442523006e-02 1.574876638715715771e+01 3.459525150326399623e-01 8.989537876673285854e-01 3.109953237416301364e-01
4.966304141876102390e-03 1.502721698442523006e-02 1.575869899544090913e+01 3.472555423007629982e-01 9.079272345979754189e-01 3.152827642199519942e-01
6.590701995976819272e-03 1.502721698442523006e-02 1.577188039943286313e+01 3.485536983877591810e-01 9.199742138938750147e-01 3.206604146740815731e-01
-2.635414407234354384e-02 1.502721698442523006e-02 1.571917211128817726e+01 3.498470375192177517e-01 8.727397078458134505e-01 3.053254013152454371e-01
