# Solid Silica - BKS potential, melted and quenched
# 216 atoms, T~1000K, dens~2.295g/cm^3
# NVE, dt = 1.0 fs, 100 ps, print_step = 1.0 fs
# Temperature = 983.172635 K, Volume = 3130.431110818 A^3
# LAMMPS metal units
Temp c_flux1[1] c_flux1[2] c_flux1[3]
993.35223 739.70808 -418.72055 -518.56922
1000.2179 655.90529 -362.94724 -608.84864
1003.4443 561.79333 -301.9937 -689.52735
1002.4052 461.22572 -240.4446 -764.33889
997.56625 356.83276 -183.67691 -835.87541
990.52715 251.0463 -137.43235 -903.9577
983.6436 147.2005 -106.84952 -964.85133
979.31452 50.009547 -95.455953 -1011.663
979.20174 -34.892219 -104.69649 -1035.6868
983.6837 -102.02298 -133.79082 -1028.3659
991.74529 -147.18651 -179.4349 -983.28019
1001.3206 -168.30381 -235.52131 -897.64492
1009.9208 -165.6086 -293.2004 -772.85098
1015.2825 -141.18404 -341.71762 -613.94253
1015.8106 -97.93986 -369.70662 -428.38028
1010.7716 -38.78228 -366.78377 -224.39875
1000.3397 33.822279 -325.1869 -9.9802089
985.61277 117.36979 -241.24207 207.59657
968.59388 208.60774 -116.25784 421.4601
952.02415 302.97563 43.831799 624.48842
938.94904 394.62514 229.70349 808.93028
932.02977 476.9325 430.4625 966.53045
932.79055 543.31939 635.27803 1089.3296
941.0898 588.23521 834.46724 1170.7088
955.0448 607.79513 1019.9954 1206.2526
971.48519 600.22879 1185.5499 1194.2515
986.8039 565.81391 1326.5535 1135.6816
997.91336 506.56819 1440.0524 1033.6351
1002.993 425.63386 1524.8107 892.34882
1001.8137 326.67461 1581.3795 716.38693
995.60456 213.2108 1611.8656 510.53139
986.5862 88.202161 1619.0674 280.6251
977.35145 -45.953407 1605.191 34.831386
970.26664 -187.1542 1570.7502 -215.48064
967.02404 -333.01552 1514.0881 -455.94612
968.40376 -480.18326 1431.8239 -670.64804
974.24446 -624.09374 1319.8219 -844.18859
983.57988 -758.64724 1174.3194 -963.98277
994.89365 -876.45477 992.98018 -1022.0727
1006.4351 -969.37357 775.74313 -1016.2206
1016.5265 -1029.0965 524.9782 -949.65879
1023.8043 -1047.9095 245.1293 -830.05152
1027.3672 -1019.4409 -57.688729 -667.91345
1026.8402 -939.31835 -375.95549 -475.30205
1022.3791 -805.81176 -700.54367 -264.76949
1014.6376 -620.37496 -1020.6066 -48.589423
1004.7134 -388.10813 -1323.8017 161.90632
994.07396 -118.16962 -1597.0492 356.8708
984.43759 176.25681 -1827.6907 528.37673
977.58812 478.69699 -2005.0182 670.83661
975.12529 770.935 -2121.6181 781.51874
978.18596 1034.9319 -2174.194 860.65932
987.18315 1254.8794 -2163.9818 911.23833
1001.6035 1418.8173 -2096.1417 938.10118
1019.9205 1519.8122 -1978.6429 946.74472
1039.6738 1556.2441 -1820.5776 941.95224
1057.7347 1531.2289 -1630.7462 926.48033
1070.7491 1451.2203 -1416.636 899.93703
1075.7201 1324.2902 -1184.0984 858.58924
1070.652 1158.602 -937.8315 796.02726
1055.1196 961.58597 -682.42987 704.99678
1030.5854 739.71118 -423.58587 579.60836
1000.317 498.87334 -168.93956 417.21693
968.85439 245.2445 72.136125 219.575
941.13469 -13.898677 289.72885 -7.0502766
921.4964 -269.81374 475.07401 -252.55113
912.8095 -512.80473 622.19359 -504.25576
915.93982 -733.50223 728.68026 -748.4216
929.65024 -924.48607 795.67832 -971.88581
950.91523 -1081.5392 827.14327 -1163.4355
975.52804 -1204.2447 828.2982 -1314.6403
998.84514 -1295.4254 804.16014 -1420.3129
1016.5432 -1359.9563 758.41324 -1478.4111
1025.3186 -1402.9674 693.45841 -1489.9326
1023.4713 -1428.3673 611.19962 -1458.4225
1011.2859 -1438.0123 514.34699 -1389.6327
991.09704 -1431.5826 407.45322 -1290.8605
966.9384 -1407.0666 297.19716 -1170.3709
943.76342 -1361.5266 191.45583 -1036.6278
926.36855 -1291.9019 97.645022 -897.44762
918.28246 -1195.8111 20.865971 -759.20721
920.93926 -1072.2115 -37.568294 -626.45837
933.39098 -921.90338 -80.476262 -501.8224
952.64175 -747.86067 -114.10743 -386.46491
974.47402 -555.20438 -146.22843 -280.78353
994.48955 -350.78714 -183.66814 -185.23904
1009.0592 -142.50488 -230.36383 -101.07742
1015.9571 61.544784 -286.22208 -30.834183
1014.5942 253.67998 -347.60357 21.744253
1005.8994 427.16102 -408.51697 52.424104
991.96668 576.41278 -462.27963 57.422002
975.58866 697.30889 -502.9979 34.548053
959.76376 787.38518 -526.54909 -15.861534
947.21835 845.80716 -530.93918 -90.455266
939.96403 873.23897 -516.20421 -182.9587
938.92823 871.51855 -483.9872 -284.70208
943.74384 843.27698 -437.08582 -385.84858
952.79572 791.78528 -379.08164 -476.66441
963.57455 720.92291 -314.10344 -548.96941
973.2835 635.23641 -246.82037 -596.93713
979.54013 539.96715 -182.30831 -617.64859
980.95923 440.88484 -125.62502 -610.90745
977.43408 343.855 -81.050426 -578.63999
970.0444 254.52831 -50.910307 -524.02362
960.67209 177.66966 -34.619643 -450.56046
951.51183 116.62667 -28.233254 -361.34367
944.64812 72.751218 -24.963168 -258.45661
941.78032 44.991431 -16.683182 -142.86231
944.06034 29.752615 4.2079821 -14.571127
951.96224 21.384751 43.054839 126.79701
965.15822 13.148613 102.41602 281.28602
982.45261 -1.5251181 182.31989 447.76621
1001.8469 -27.963785 281.22863 623.20909
1020.7684 -69.515067 396.83809 802.2025
1036.4398 -127.16488 526.50769 976.95987
1046.3263 -199.36912 667.08811 1137.7302
1048.5713 -282.16768 814.25449 1273.7371
1042.3367 -369.41605 961.51 1374.1847
1028.0117 -453.38691 1099.75 1429.4531
1007.2727 -525.53392 1217.8275 1432.139
982.96868 -577.61225 1304.0212 1378.1515
958.77633 -603.13498 1348.3093 1267.4212
938.59489 -598.85674 1344.242 1104.3109
925.74972 -565.74677 1289.9023 897.38961
922.20297 -509.1666 1187.657 658.5939
928.02294 -437.84087 1042.8516 401.99887
941.30067 -361.95089 862.18036 142.12638
958.56486 -290.62376 652.0981 -107.4934
975.59243 -229.9894 417.94605 -335.61773
988.4007 -181.97737 163.732 -533.96526
994.17403 -144.53171 -106.95718 -697.34101
991.91174 -112.84323 -389.61026 -823.12944
982.66062 -81.28237 -677.38053 -910.70428
969.28649 -45.355726 -960.50019 -961.00237
955.81849 -3.0911189 -1226.7424 -976.58375
946.48104 44.557119 -1463.0415 -961.78557
944.61959 94.41263 -1657.7386 -922.78821
951.79739 142.35117 -1802.5504 -867.12015
967.33366 184.89464 -1894.0559 -802.5746
988.43865 220.20195 -1933.7197 -735.63707
1010.9231 248.3917 -1927.0617 -670.01821
1030.2748 270.78039 -1881.846 -605.62871
1042.7827 288.82397 -1806.2194 -538.78865
1046.3879 303.01103 -1707.2415 -463.59511
1041.0493 312.23028 -1590.1117 -374.07588
1028.5756 313.96877 -1458.0941 -266.25714
1012.0376 305.15163 -1313.1034 -139.55488
994.97086 283.31438 -1156.1488 3.0359243
980.60283 247.78341 -987.77834 155.86122
971.28846 200.34526 -808.06012 312.07792
968.22599 145.09417 -616.54536 465.21303
971.42901 87.660155 -412.1491 610.09483
979.8762 33.974612 -193.42581 743.12159
991.7509 -10.841439 40.851714 861.83172
1004.724 -43.079304 290.76346 963.99477
1016.276 -60.535418 554.38319 1046.9616
1024.0712 -62.191536 827.36491 1107.4883
1026.3763 -47.747003 1102.9402 1142.1987
1022.4497 -17.4225 1372.4233 1148.6219
1012.785 27.888944 1625.801 1126.3198
999.10092 86.233183 1852.5159 1077.6898
984.03431 153.9273 2042.0266 1007.763
970.60666 225.1854 2184.5483 923.07612
961.60425 292.13679 2271.8318 829.73099
959.00869 345.60734 2298.2349 731.39201
963.58024 376.62928 2261.8199 628.26551
974.65476 378.40468 2165.0317 517.65697
990.20769 347.73872 2014.6329 395.77478
1007.1932 285.72702 1820.9452 260.11859
1022.0998 197.36496 1596.3988 111.47229
1031.619 90.539224 1353.9482 -45.063025
1033.3 -25.210354 1105.6172 -200.56956
1026.0651 -139.7363 861.21164 -344.08054
1010.455 -243.10009 627.83082 -465.03907
988.53706 -326.3872 409.76122 -555.60764
963.53081 -382.62983 208.61743 -611.78542
939.26293 -407.84011 23.590195 -633.692
919.55499 -401.91073 -148.27837 -624.80838
907.59526 -369.19083 -311.55885 -590.89903
905.34128 -318.26344 -471.76585 -539.04402
913.05296 -260.72104 -634.24007 -476.99612
929.09468 -209.11536 -803.22 -412.60448
950.14036 -174.52134 -980.78571 -353.37319
971.82243 -164.4548 -1166.0282 -305.57033
989.73396 -181.56825 -1354.3618 -273.22149
1000.5563 -223.55748 -1537.589 -257.11935
1002.9837 -283.76708 -1704.6441 -254.46401
998.10747 -352.68521 -1843.2517 -259.23942
989.06702 -419.69682 -1941.924 -263.58677
980.04181 -475.0175 -1992.0132 -259.66351
974.92777 -511.24739 -1988.9831 -241.74765
976.15623 -524.23644 -1932.9772 -207.68271
984.03568 -513.12954 -1828.2648 -159.57859
996.79208 -479.71474 -1682.1487 -103.46228
1011.2345 -427.2661 -1503.3352 -48.165354
1023.7633 -359.41238 -1300.5554 -3.6188634
1031.3521 -279.45835 -1081.7552 20.855528
1032.2157 -190.17658 -853.8652 18.303012
1026.0414 -94.158874 -623.06765 -14.654708
1013.8336 5.6555481 -394.97228 -77.107872
997.51589 105.72061 -174.72129 -163.98292
979.45306 201.97258 33.411052 -266.8632
962.02764 290.25288 226.61741 -375.2283
947.33543 367.20431 404.21826 -477.70741
936.99442 431.06765 567.9175 -563.26848
932.02365 482.27478 721.20014 -622.0166
932.74812 523.4273 868.0369 -645.91679
938.71781 558.65293 1011.069 -629.37386
948.69642 592.34262 1150.1808 -569.68707
960.80083 627.79595 1281.9913 -467.41632
972.83651 666.07393 1400.1918 -326.52875
982.78249 705.61587 1497.0548 -154.24708
989.29061 742.80481 1565.0755 39.330514
992.03271 773.1225 1598.5091 242.06796
991.76923 792.6659 1593.9965 441.10472
990.10234 799.15962 1550.5919 624.70515
988.97527 792.45157 1468.9064 784.00682
990.07695 774.13909 1350.0518 914.35344
994.34552 746.67317 1194.7769 1015.423
