Temp    c_flux[1] c_flux[2] c_flux[3] c_vcm[1][1] c_vcm[1][2] c_vcm[1][3]
1429.798	-523.49542 13.325553 -704.79547 0.42657797 -0.32918462 0.22203765
1427.0518	-461.69829 61.873454 -682.36874 0.40297706 -0.30598565 0.19520203
1421.1572	-388.28331 100.89896 -667.40805 0.37795744 -0.27775979 0.16394285
1413.5047	-302.15968 120.86366 -667.68972 0.35582037 -0.25056593 0.12853361
1407.5504	-199.61986 120.91901 -676.10592 0.34012511 -0.22880402 0.09122266
1405.4323	-91.570351 112.33357 -678.89715 0.33163426 -0.21437224 0.054161477
1406.3356	-3.1143173 110.11498 -669.09707 0.32771607 -0.20699975 0.017446098
1408.2134	42.063861 120.2282 -650.85692 0.32343522 -0.20479014 -0.019947291
1409.8013	34.937459 140.73534 -632.31889 0.31347629 -0.20479266 -0.057094172
1410.7458	-20.333412 165.51723 -615.60981 0.29405507 -0.20437753 -0.089332376
1410.6522	-114.4109 188.59954 -596.14286 0.26416566 -0.20200288 -0.11022174
1409.6074	-234.45795 216.43521 -571.40125 0.22543055 -0.19644334 -0.11581104
1408.8608	-363.56141 265.03412 -543.56489 0.18054025 -0.18688397 -0.10729456
1409.4178	-485.17346 339.93417 -516.75422 0.13176424 -0.17428124 -0.090701615
1410.9658	-589.26222 425.54553 -496.17993 0.080905879 -0.16140357 -0.074582447
1412.6484	-671.27152 497.40075 -483.86981 0.030361237 -0.15063552 -0.066526562
1413.7616	-728.33926 541.97983 -474.50677 -0.016627481 -0.14193951 -0.070116778
1413.6097	-760.62595 561.18236 -458.37245 -0.057182599 -0.13332548 -0.08415778
1411.5097	-771.31479 559.27669 -428.50887 -0.089469593 -0.12301518 -0.10421525
1407.3516	-761.71324 532.10572 -386.29038 -0.11162322 -0.11072871 -0.12473232
1402.062	-729.47319 473.08012 -335.47799 -0.12071058 -0.097261865 -0.14013446
1397.3529	-674.09225 384.053 -273.91872 -0.11382838 -0.083900946 -0.14599325
1395.1304	-602.99758 273.83888 -206.05632 -0.09050327 -0.072446757 -0.14150711
1395.8087	-533.84757 150.03212 -155.50635 -0.0535176 -0.064440651 -0.1302188
1397.0692	-489.12854 19.923389 -143.61278 -0.0069884497 -0.05924221 -0.11652982
1396.4023	-484.93583 -106.67611 -163.04836 0.045853058 -0.053352522 -0.10217994
1394.0793	-525.24086 -217.84561 -186.28586 0.10275627 -0.041936867 -0.087054795
1392.8806	-601.22028 -298.00925 -192.09599 0.16139403 -0.021227901 -0.072186853
1395.6062	-692.18235 -337.77155 -177.51634 0.21889608 0.0091063223 -0.060483268
1402.7076	-771.42618 -345.72015 -153.02912 0.27206065 0.045355595 -0.054507212
1412.6866	-819.69978 -336.48761 -136.04262 0.31746694 0.081632133 -0.053915897
1423.8668	-832.38533 -317.74052 -142.29951 0.35163767 0.11157417 -0.054662615
1433.9034	-814.10778 -290.28345 -177.43916 0.3717051 0.12906817 -0.050970806
1438.8976	-772.08759 -247.71134 -238.65151 0.37621482 0.129204 -0.039023417
1435.3858	-712.15176 -181.12027 -316.60761 0.36535438 0.10906192 -0.018827151
1423.3336	-639.1008 -89.401201 -394.70198 0.34008957 0.068085321 0.0068145449
1406.2282	-563.55634 16.973581 -455.31089 0.3009819 0.0085308624 0.033818116
1388.1371	-501.2557 120.84221 -487.38051 0.2485414 -0.064300384 0.057695539
1371.8408	-460.67594 207.05657 -487.41393 0.18484357 -0.14267295 0.074584948
1359.1962	-436.75592 268.29536 -457.8002 0.11410846 -0.21784274 0.082541237
1351.1055	-414.68045 305.4873 -403.74658 0.041771658 -0.28169893 0.082275847
1347.2397	-379.75591 324.04987 -326.10129 -0.026606539 -0.32822571 0.076794293
1347.1167	-327.54237 331.98758 -220.62137 -0.085694148 -0.35427384 0.069720683
1351.1452	-266.06981 336.93607 -91.969836 -0.13061725 -0.35956165 0.062985474
1359.8368	-210.55484 336.61406 36.173939 -0.15816496 -0.34651191 0.055990263
1372.9791	-175.27992 317.16723 135.58388 -0.16832765 -0.31995575 0.047333203
1389.6741	-165.20237 265.04442 198.28595 -0.16423267 -0.28636845 0.037095065
1407.861	-172.87046 185.51365 242.20228 -0.15029012 -0.25194958 0.027335163
1424.1885	-186.07898 107.93773 287.94462 -0.13058248 -0.2203699 0.020516928
1435.0643	-194.4864 61.76628 338.57667 -0.10856831 -0.19277159 0.017947279
1438.411	-188.3167 50.589519 385.37754 -0.087463519 -0.16983061 0.019732223
