# ck  ck_std  L0(P*)  L0_std(P*)  kappa(P*)  kappa_std(P*)
# 
5.022305791463425526e-03 8.432558466119309537e-03 1.315322213658163619e+01 1.032773273408934545e-01 2.291178568822270112e+00 2.366267990486974060e-01
-1.880375403998510745e-03 8.432558466119309537e-03 1.314946138577363932e+01 1.046452985652778361e-01 2.282578199228183280e+00 2.388610771568275004e-01
7.322597848180759268e-03 8.432558466119309537e-03 1.316410658147000134e+01 1.059956163289511727e-01 2.316252988705579163e+00 2.455126631116230362e-01
5.828903046397364111e-03 8.432558466119309537e-03 1.317576438756279522e+01 1.073289469346098840e-01 2.343413424857491378e+00 2.515160951223820995e-01
7.692178035125195323e-03 8.432558466119309537e-03 1.319114874363304502e+01 1.086459157963629296e-01 2.379744076693435684e+00 2.585494745733284416e-01
-2.339155772512087339e-02 8.432558466119309537e-03 1.314436562818280407e+01 1.099471108686738835e-01 2.270976319331810434e+00 2.496872851617075451e-01
-5.775836223041034331e-04 8.432558466119309537e-03 1.314321046093819589e+01 1.112330857142179025e-01 2.268354476499469641e+00 2.523160679146953522e-01
-3.055478449273442594e-03 8.432558466119309537e-03 1.313709950403964832e+01 1.125043622560682188e-01 2.254534928400518723e+00 2.536450143037308202e-01
-1.460769735015839121e-02 8.432558466119309537e-03 1.310788410933933079e+01 1.137614332530260952e-01 2.189620665678971179e+00 2.490943852080848564e-01
3.468953867081577696e-05 8.432558466119309537e-03 1.310795348841667263e+01 1.150047645313914402e-01 2.189772584810428580e+00 2.518342804934197154e-01
5.909101666867610549e-03 8.432558466119309537e-03 1.311977169175040814e+01 1.162347970018396542e-01 2.215805289372146269e+00 2.575536780057739450e-01
6.667844566020939348e-03 8.432558466119309537e-03 1.313310738088244989e+01 1.174519484861658442e-01 2.245552488736294539e+00 2.637445152300367801e-01
-2.798694861580007867e-03 8.432558466119309537e-03 1.312750999115928963e+01 1.186566153753554342e-01 2.233018368217005722e+00 2.649624016436290530e-01
6.894298798263966306e-03 8.432558466119309537e-03 1.314129858875581824e+01 1.198491741376348230e-01 2.264021815742615296e+00 2.713411448463408648e-01
-6.090759589851203748e-03 8.432558466119309537e-03 1.312911706957611635e+01 1.210299826927658390e-01 2.236609888995722883e+00 2.706968561556212793e-01
-1.886245355703515623e-03 8.432558466119309537e-03 1.312534457886470918e+01 1.221993816668041910e-01 2.228188194334793870e+00 2.722832195849847481e-01
1.144429089923151149e-02 8.432558466119309537e-03 1.314823316066317282e+01 1.233576955397893277e-01 2.279776400339381226e+00 2.812279630918622653e-01
7.957165113585787678e-04 8.432558466119309537e-03 1.314982459368589041e+01 1.245052336973247187e-01 2.283407400267548848e+00 2.842961719965118594e-01
-7.996008978806340428e-03 8.432558466119309537e-03 1.313383257572827745e+01 1.256422913957061238e-01 2.247181542446444524e+00 2.823410381751085274e-01
-1.448941631697234049e-02 8.432558466119309537e-03 1.310485374309433304e+01 1.267691506491291920e-01 2.182995356750700555e+00 2.767364672462790942e-01
-6.217765410982413997e-04 8.432558466119309537e-03 1.310361019001213734e+01 1.278860810465302089e-01 2.180282373365438175e+00 2.788277683045337074e-01
5.199395297910946448e-04 8.432558466119309537e-03 1.310465006907172025e+01 1.289933405047631598e-01 2.182550782580687798e+00 2.815345162663679957e-01
-7.310531596201402804e-03 8.432558466119309537e-03 1.309002900587931784e+01 1.300911759640747400e-01 2.150871724769509719e+00 2.798094320231431786e-01
-9.550781989598121705e-03 8.432558466119309537e-03 1.307092744190012112e+01 1.311798240311898844e-01 2.110176618357403999e+00 2.768125974708555703e-01
2.812600210742074568e-03 8.432558466119309537e-03 1.307655264232160519e+01 1.322595115747522421e-01 2.122080233482096734e+00 2.806652952027783310e-01
-1.856119517667698571e-04 8.432558466119309537e-03 1.307618141841807180e+01 1.333304562773641178e-01 2.121292612775074193e+00 2.828329119591025398e-01
-8.746821314725170080e-04 8.432558466119309537e-03 1.307443205415512644e+01 1.343928671480305592e-01 2.117584943264846586e+00 2.845883119548623386e-01
-1.318802679879317553e-03 8.432558466119309537e-03 1.307179444879536767e+01 1.354469449984246621e-01 2.112006949375859310e+00 2.860648891084027201e-01
1.135045102576981955e-03 8.432558466119309537e-03 1.307406453900052234e+01 1.364928828860478005e-01 2.116806841697851826e+00 2.889290683362496504e-01
1.748614245997234806e-02 8.432558466119309537e-03 1.310903682392046754e+01 1.375308665270543462e-01 2.192146128636803137e+00 3.014877566253470476e-01
2.149084847114430142e-03 8.432558466119309537e-03 1.311333499361469634e+01 1.385610746812412919e-01 2.201588622876598400e+00 3.050544855917755038e-01
-1.919513382576418237e-02 8.432558466119309537e-03 1.307494472596316726e+01 1.395836795114622497e-01 2.118670847698900239e+00 2.957318725954813377e-01
1.412342205710308447e-02 8.432558466119309537e-03 1.310319157007737267e+01 1.405988469195131318e-01 2.179369854713106847e+00 3.064168885838096656e-01
2.735448585130557941e-02 8.432558466119309537e-03 1.315790054177998414e+01 1.416067368603442234e-01 2.301922743754020395e+00 3.259677682476171401e-01
1.201230969495582258e-02 8.432558466119309537e-03 1.318192516116989665e+01 1.426075036362843551e-01 2.357895228186881464e+00 3.362535523276382055e-01
5.681463714169655149e-03 8.432558466119309537e-03 1.319328808859823532e+01 1.436012961728094506e-01 2.384840619890545632e+00 3.424662041818487546e-01
1.823384122314326838e-02 8.432558466119309537e-03 1.322975577104452150e+01 1.445882582772509417e-01 2.473415474099132982e+00 3.576268353959945467e-01
6.198018506579297190e-03 8.432558466119309537e-03 1.324215180805767922e+01 1.455685288817164247e-01 2.504266846184858952e+00 3.645424407263855304e-01
3.264395674135012800e-03 8.432558466119309537e-03 1.324868059940594911e+01 1.465422422713846262e-01 2.520670170579090374e+00 3.693846588232534978e-01
-1.161190564956023248e-03 8.432558466119309537e-03 1.324635821827603621e+01 1.475095282992365531e-01 2.514823006040531439e+00 3.709603553771069206e-01
2.703168087756921672e-03 8.432558466119309537e-03 1.325176455445154922e+01 1.484705125881949361e-01 2.528455803169779248e+00 3.754011291532132200e-01
1.868164931867228413e-03 8.432558466119309537e-03 1.325550088431528373e+01 1.494253167215630895e-01 2.537920618922310911e+00 3.792295922966517074e-01
9.422913880718285186e-05 8.432558466119309537e-03 1.325568934259289833e+01 1.503740584225800592e-01 2.538398956142764007e+00 3.817093529308282496e-01
-1.143273082669060171e-02 8.432558466119309537e-03 1.323282388093951667e+01 1.513168517238433763e-01 2.481015838003460594e+00 3.754195056836767130e-01
5.739862740887536089e-04 8.432558466119309537e-03 1.323397185348769334e+01 1.522538071272888927e-01 2.483865611494986414e+00 3.781779957426631422e-01
6.304500711275091984e-03 8.432558466119309537e-03 1.324658085491024373e+01 1.531850317553636598e-01 2.515382960101054444e+00 3.853190186199806910e-01
1.299287639469361849e-02 8.432558466119309537e-03 1.327256660769963048e+01 1.541106294939769972e-01 2.581603752129662421e+00 3.978525793447152403e-01
-1.665097919031886115e-03 8.432558466119309537e-03 1.326923641186156644e+01 1.550307011277699820e-01 2.573020805437683300e+00 3.988972194833435014e-01
-3.456643804756972561e-04 8.432558466119309537e-03 1.326854508310061576e+01 1.559453444682014911e-01 2.571242616879628073e+00 4.009733156006134447e-01
-1.682284807797453791e-02 8.432558466119309537e-03 1.323489938694466694e+01 1.568546544749122307e-01 2.486170548740231467e+00 3.899674223883519142e-01
9.304597592018406041e-03 8.432558466119309537e-03 1.325350858212870442e+01 1.577587233707923586e-01 2.532869347624113754e+00 3.995822347461919222e-01
-8.013597207292620477e-04 8.432558466119309537e-03 1.325190586268724502e+01 1.586576407511477715e-01 2.528813120043674090e+00 4.012155235266783304e-01
-8.199665710083701986e-03 8.432558466119309537e-03 1.323550653126707743e+01 1.595514936873307643e-01 2.487680471397544668e+00 3.969131350282814052e-01
-1.229065025541745473e-02 8.432558466119309537e-03 1.321092523075624214e+01 1.604403668251741244e-01 2.427275507996352832e+00 3.894329728886957165e-01
1.276748810989085728e-02 8.432558466119309537e-03 1.323646020697602310e+01 1.613243424785438807e-01 2.490054043463850508e+00 4.017063312978452205e-01
4.883790536720666875e-03 8.432558466119309537e-03 1.324622778804946499e+01 1.622035007183032507e-01 2.514495018496277101e+00 4.078598945388307584e-01
1.330146910146897613e-04 8.432558466119309537e-03 1.324649381743149412e+01 1.630779194569598467e-01 2.515164037037511680e+00 4.101677182530453214e-01
-8.660235034585779187e-03 8.432558466119309537e-03 1.322917334736232320e+01 1.639476745292496318e-01 2.471975317782384884e+00 4.052746048441248639e-01
3.137036714337636516e-04 8.432558466119309537e-03 1.322980075470518990e+01 1.648128397688931601e-01 2.473526739884064352e+00 4.076689662445849849e-01
-8.376911250624558339e-03 8.432558466119309537e-03 1.321304693220394100e+01 1.656734870817444250e-01 2.432430929153921895e+00 4.029893141184178740e-01
8.489008408697559446e-03 8.432558466119309537e-03 1.323002494902133641e+01 1.665296865155369843e-01 2.474081352688179081e+00 4.120079920770981508e-01
-6.875572894333447510e-03 8.432558466119309537e-03 1.321627380323266898e+01 1.673815063264191827e-01 2.440292747764050585e+00 4.084598759981832861e-01
4.160859308717716580e-04 8.432558466119309537e-03 1.321710597509441243e+01 1.682290130424570485e-01 2.442324335921164380e+00 4.108698125615918295e-01
6.746060059457458825e-03 8.432558466119309537e-03 1.323059809521332753e+01 1.690722715242723162e-01 2.475499769435398179e+00 4.185383691762552538e-01
-1.147200640951267191e-02 8.432558466119309537e-03 1.320765408239430272e+01 1.699113450229717548e-01 2.419348501969302845e+00 4.110747580489160224e-01
-7.047303308921404504e-03 8.432558466119309537e-03 1.319355947577646049e+01 1.707462952355143504e-01 2.385487922887788326e+00 4.073132251621522371e-01
1.834409614046147215e-03 8.432558466119309537e-03 1.319722829500455319e+01 1.715771823576535959e-01 2.394255921112961705e+00 4.107996847876904667e-01
-4.230331754313907712e-03 8.432558466119309537e-03 1.318876763149592612e+01 1.724040651345831732e-01 2.374084380049432674e+00 4.093017980930389044e-01
-8.949401201403946529e-03 8.432558466119309537e-03 1.317086882909311818e+01 1.732270009094069585e-01 2.331969143348708862e+00 4.039600209155757571e-01
6.095474874843470267e-03 8.432558466119309537e-03 1.318305977884280544e+01 1.740460456695462066e-01 2.360572056084600412e+00 4.108482318795549371e-01
2.071447185135440259e-04 8.432558466119309537e-03 1.318347406827983193e+01 1.748612540911903823e-01 2.361550218760017472e+00 4.129436328517017141e-01
1.574809690355663842e-03 8.432558466119309537e-03 1.318662368766054271e+01 1.756726795818915332e-01 2.368999928814640832e+00 4.161685654241782939e-01
3.026904716400117580e-03 8.432558466119309537e-03 1.319267749709334225e+01 1.764803743213959053e-01 2.383384900937556505e+00 4.206206594694231193e-01
3.864152983269537878e-03 8.432558466119309537e-03 1.320040580305988165e+01 1.772843893008013705e-01 2.401875788272254564e+00 4.258150823002276320e-01
-1.018142146022626461e-02 8.432558466119309537e-03 1.318004296013942955e+01 1.780847743601237099e-01 2.353461369374446388e+00 4.191156369303160045e-01
