# freqs_THz  psd  fpsd  logpsd  flogpsd
# 
4.201176329372224294e-01 1.541016896633276192e+05 7.107924340787745314e+05 1.194536798596793759e+01 1.319023028431343825e+01
4.301204337214420415e-01 1.081010607633372303e+06 6.452724164186775452e+05 1.389340690937002876e+01 1.301074220858221331e+01
4.401232345056616535e-01 6.364622376450315351e+05 7.845016785826685373e+05 1.336368036708926432e+01 1.323301666823863521e+01
4.501260352898812100e-01 1.798510470480306773e+06 8.444212168281635968e+05 1.440246936388586008e+01 1.329420321667545934e+01
4.601288360741008221e-01 2.435307761699348339e+05 7.557711639989395626e+05 1.240299860435975354e+01 1.317004925403862714e+01
4.701316368583204341e-01 3.536816167221831856e+05 7.774561296902308241e+05 1.277615239963360239e+01 1.320167316879955699e+01
4.801344376425399907e-01 1.162063476750100235e+05 8.363946944170098286e+05 1.166312274905948776e+01 1.335167560601524883e+01
4.901372384267595472e-01 1.676954932032845216e+06 8.083602501301589655e+05 1.433249016628373163e+01 1.332114386745107915e+01
5.001400392109791593e-01 1.345542215024756966e+06 8.208941822963424493e+05 1.411230762362886182e+01 1.333896933500428084e+01
5.101428399951987158e-01 3.341342003589206142e+05 6.781565024297358468e+05 1.271929798874164419e+01 1.315136632085280510e+01
5.201456407794182724e-01 8.118823331868496025e+05 7.285320475698654773e+05 1.360711069877495305e+01 1.325922462435325500e+01
5.301484415636379399e-01 8.024259016578964656e+05 7.484941346105600242e+05 1.359539479534054252e+01 1.330312919021891815e+01
5.401512423478574965e-01 7.726317204780124594e+05 7.941819289384408621e+05 1.355755778516417465e+01 1.345516278445102287e+01
5.501540431320770530e-01 7.743354914730503224e+05 6.809595682772683213e+05 1.355976051017446160e+01 1.333175854797931947e+01
5.601568439162967206e-01 2.283959919476348441e+05 6.053253406615839340e+05 1.233883620821962701e+01 1.324419724288112299e+01
5.701596447005162771e-01 7.976617727113600122e+05 6.166065603653549915e+05 1.358943994286470769e+01 1.327290845483287640e+01
5.801624454847358336e-01 5.732645741698228521e+05 6.087979792996075703e+05 1.325910262415593088e+01 1.326274281713649650e+01
5.901652462689553902e-01 6.187720852816990810e+05 5.429717426566064823e+05 1.333549228561260769e+01 1.305123230150640801e+01
6.001680470531749467e-01 4.315089647599473246e+05 5.478306796382063767e+05 1.297504356509501378e+01 1.305731313313981090e+01
6.101708478373945033e-01 5.135657112522297539e+05 5.075392728508742875e+05 1.314913326754868628e+01 1.298008639378494422e+01
6.201736486216140598e-01 4.582276171004028292e+05 6.001035106353792362e+05 1.303512132021094594e+01 1.313436787441098019e+01
6.301764494058337274e-01 7.259879414636278525e+05 5.717509082157227676e+05 1.349528868411476168e+01 1.308928402522826318e+01
6.401792501900532839e-01 7.833729858488394530e+04 5.784509694594522007e+05 1.126877912340958687e+01 1.310027904660414144e+01
6.501820509742728404e-01 8.260800272756111808e+05 5.978254234961029142e+05 1.362444693313159760e+01 1.312718491131145626e+01
6.601848517584925080e-01 3.311300168123985059e+05 6.258916261867280118e+05 1.271026637727091924e+01 1.317624694600602453e+01
6.701876525427120646e-01 1.246602607577189803e+06 6.773891035581731703e+05 1.403593249510601382e+01 1.324382635339211944e+01
6.801904533269316211e-01 4.857831460951374611e+05 7.049131194213035051e+05 1.309351760185480806e+01 1.328994058341340434e+01
6.901932541111512887e-01 6.469652478508463828e+05 6.914832322087400826e+05 1.338004785929060603e+01 1.326925774477839326e+01
7.001960548953707342e-01 8.318910796848572791e+05 8.338686696535432711e+05 1.363145679739306537e+01 1.354600453659884529e+01
7.101988556795902907e-01 7.402371943568217102e+05 8.050797781669395044e+05 1.351472594673527539e+01 1.350205419735035228e+01
7.202016564638099583e-01 1.080037962338128593e+06 8.961294120394055499e+05 1.389250674879572678e+01 1.362863902677161576e+01
7.302044572480295148e-01 7.609917915948345326e+05 8.379756088681195397e+05 1.354237785044509046e+01 1.356320307830976724e+01
7.402072580322490714e-01 5.782591821254300885e+05 8.663393331986445701e+05 1.326777745912962025e+01 1.360830086956471163e+01
7.502100588164687389e-01 1.644577110477719456e+06 9.423152228307874175e+05 1.431299383343455212e+01 1.368369427606605271e+01
7.602128596006882955e-01 5.094022209229693981e+05 9.194411594799958402e+05 1.314099320139818161e+01 1.365094909367904918e+01
7.702156603849078520e-01 1.332675989409524482e+06 9.272121549813197926e+05 1.410269950090482460e+01 1.366088389536693448e+01
7.802184611691275196e-01 6.069107726930467179e+05 8.823151950496727368e+05 1.331613706202569070e+01 1.360532578388831837e+01
7.902212619533470761e-01 7.977841137309109326e+05 8.957027350462101167e+05 1.358959330565918400e+01 1.362140781199341077e+01
8.002240627375665216e-01 1.482700033804418053e+06 8.905997879323429661e+05 1.420937533080534720e+01 1.361212492298632348e+01
8.102268635217860782e-01 5.802763828261489980e+05 8.010830176714395639e+05 1.327125979113604615e+01 1.352911024999037437e+01
8.202296643060057457e-01 8.257181448713854188e+05 7.706056740116575966e+05 1.362400876530199589e+01 1.343153637243730714e+01
8.302324650902253023e-01 5.861714030900099315e+05 7.686093450298125390e+05 1.328136752253094954e+01 1.343002590812812969e+01
8.402352658744448588e-01 9.082547315567464102e+05 7.238943492705181707e+05 1.371928015960111757e+01 1.327883942585707722e+01
8.502380666586645264e-01 5.221267638728912571e+05 7.119009757132694358e+05 1.316566568005164051e+01 1.326240641794837494e+01
8.602408674428840829e-01 6.598926376077827299e+05 6.972674985736112576e+05 1.339983243047912431e+01 1.325195896907820092e+01
8.702436682271035284e-01 1.741514406653682236e+05 7.516274733313794713e+05 1.206768054831444026e+01 1.331634708369677611e+01
8.802464690113233070e-01 1.310716370609229896e+06 7.104844072936486918e+05 1.408608439350387265e+01 1.324413908726376832e+01
8.902492697955427525e-01 1.150458193408082152e+05 7.685819576537624234e+05 1.165308575704411531e+01 1.331116485238174540e+01
9.002520705797624201e-01 6.658570046011746163e+05 7.366707612215226982e+05 1.340883021866346247e+01 1.326675176323743344e+01
9.102548713639819766e-01 1.321731785268178908e+06 7.803376759187872522e+05 1.409445339323344193e+01 1.332605218829842286e+01
9.202576721482016442e-01 1.178236105161598185e+06 7.737391293850778602e+05 1.397952905194037498e+01 1.331545885175560429e+01
9.302604729324210897e-01 3.731444184563457966e+05 7.885527528842850588e+05 1.282972080453890307e+01 1.337550050692113857e+01
9.402632737166408683e-01 1.225244457051262027e+06 6.829410495547549799e+05 1.401865093882870106e+01 1.317782179733807624e+01
9.502660745008603138e-01 5.572315708021086175e+05 7.409309754315826576e+05 1.323073617901367882e+01 1.334860801824031995e+01
9.602688752850799814e-01 1.002462825542802340e+06 7.303648780578078004e+05 1.381797035572250110e+01 1.333116895132037705e+01
9.702716760692995379e-01 5.873086257369779050e+05 6.961766531899366528e+05 1.328330572850811642e+01 1.330073134852580097e+01
9.802744768535190945e-01 3.371012991566476412e+05 6.475007183890553424e+05 1.272813875513536530e+01 1.324564599763781203e+01
9.902772776377386510e-01 1.489876339844001923e+05 6.569339978788212175e+05 1.191161858809016749e+01 1.326795175233726631e+01
1.000280078421958319e+00 7.529350039859123062e+05 5.718266997379922541e+05 1.353173418696881747e+01 1.313665657698217437e+01
1.010282879206177764e+00 5.496299334896525834e+05 6.013885372577988310e+05 1.321700048254408166e+01 1.317844547896057250e+01
1.020285679990397432e+00 9.456613117215960519e+05 5.958230120871493127e+05 1.375963976249309617e+01 1.317271686575196021e+01
1.030288480774617099e+00 6.428008223519031890e+05 5.938477626352745574e+05 1.337359019217246647e+01 1.316928985327914425e+01
1.040291281558836545e+00 4.769104928437707713e+05 6.562559449160723016e+05 1.307508410623292860e+01 1.327026159262732818e+01
1.050294082343056212e+00 2.890641775021426729e+05 6.660416168823837070e+05 1.257440400992269858e+01 1.331969542440297083e+01
1.060296883127275880e+00 8.824117835199814290e+05 7.762602400282842573e+05 1.369041410077603516e+01 1.340691738416545853e+01
1.070299683911495103e+00 9.412420486656571738e+05 8.533143612530682003e+05 1.375495561042779080e+01 1.349173541991140723e+01
1.080302484695714993e+00 5.655808817663555965e+05 8.618538335812552832e+05 1.324560859130713553e+01 1.350034473788518063e+01
1.090305285479934438e+00 1.023591304245423409e+06 8.157647161284689792e+05 1.383882788796539387e+01 1.335902650801650893e+01
1.100308086264154106e+00 2.566300256138251279e+05 8.187454484046096914e+05 1.245539073762222415e+01 1.336507111175503226e+01
1.110310887048373552e+00 1.965339858590816846e+06 8.017810905005510431e+05 1.449117574435619105e+01 1.327077902585419267e+01
