# freqs_THz  cepf_psd cepf_logpsd
# 
1.180330492537910780e+00 8.205882278094273061e+05 1.344194875948466184e+01
1.190333293322130226e+00 8.245585701338001527e+05 1.344677550204352556e+01
1.200336094106349893e+00 8.285493878640912008e+05 1.345160377168419963e+01
1.210338894890569561e+00 8.325573076309458120e+05 1.345642938289299728e+01
1.220341695674789007e+00 8.365788777691018768e+05 1.346124813639579365e+01
1.230344496459008674e+00 8.406105721089477884e+05 1.346605582476493623e+01
1.240347297243228120e+00 8.446487940764125669e+05 1.347084823806034315e+01
1.250350098027447787e+00 8.486898811026099138e+05 1.347562116949698208e+01
1.260352898811667455e+00 8.527301093438259559e+05 1.348037042113147166e+01
1.270355699595886900e+00 8.567656987102151616e+05 1.348509180955955422e+01
1.280358500380106568e+00 8.607928182008985896e+05 1.348978117161710877e+01
1.290361301164326013e+00 8.648075915411175229e+05 1.349443437007675861e+01
1.300364101948545681e+00 8.688061031156209065e+05 1.349904729933224878e+01
1.310366902732765126e+00 8.727844041910575470e+05 1.350361589106302063e+01
1.320369703516985016e+00 8.767385194180177059e+05 1.350813611987087803e+01
1.330372504301204239e+00 8.806644536022399552e+05 1.351260400888130242e+01
1.340375305085424129e+00 8.845581987323883222e+05 1.351701563530151340e+01
1.350378105869643575e+00 8.884157412502978696e+05 1.352136713592763684e+01
1.360380906653863242e+00 8.922330695478679845e+05 1.352565471259334196e+01
1.370383707438082688e+00 8.960061816731831059e+05 1.352987463755244590e+01
1.380386508222302577e+00 8.997310932266699383e+05 1.353402325878788304e+01
1.390389309006521801e+00 9.034038454265574692e+05 1.353809700523956572e+01
1.400392109790741468e+00 9.070205133217721013e+05 1.354209239194417336e+01
1.410394910574961136e+00 9.105772141280975193e+05 1.354600602507905371e+01
1.420397711359180581e+00 9.140701156632027123e+05 1.354983460690378827e+01
1.430400512143400249e+00 9.174954448537079152e+05 1.355357494059179224e+01
1.440403312927619917e+00 9.208494962874391349e+05 1.355722393494569467e+01
1.450406113711839362e+00 9.241286407819670858e+05 1.356077860898925280e+01
1.460408914496059030e+00 9.273293339405324077e+05 1.356423609642968664e+01
1.470411715280278697e+00 9.304481246648912784e+05 1.356759364998358386e+01
1.480414516064498143e+00 9.334816635948960902e+05 1.357084864556064119e+01
1.490417316848717810e+00 9.364267114432782400e+05 1.357399858629869094e+01
1.500420117632937478e+00 9.392801471945538651e+05 1.357704110644442252e+01
1.510422918417156701e+00 9.420389761366691673e+05 1.357997397507415904e+01
1.520425719201376591e+00 9.447003376937848516e+05 1.358279509964891929e+01
1.530428519985596036e+00 9.472615130294368137e+05 1.358550252939879677e+01
1.540431320769815704e+00 9.497199323893901892e+05 1.358809445853148823e+01
1.550434121554035150e+00 9.520731821541343816e+05 1.359056922926000333e+01
1.560436922338255039e+00 9.543190115722140763e+05 1.359292533464524055e+01
1.570439723122474263e+00 9.564553391460096464e+05 1.359516142124870974e+01
1.580442523906694152e+00 9.584802586435372941e+05 1.359727629159171158e+01
1.590445324690913598e+00 9.603920447103271727e+05 1.359926890641658837e+01
